OBJECTID,Installati,Owner,NominalVol,Manufactur,OPERATINGC,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
71,944611200000,Utility,250,OTH,Distribution,Underground,{28485C85-5310-431E-9567-C047F6DAAE21},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77598077,-88.19574907
72,944611200000,Utility,250,OTH,Distribution,Underground,{942A3732-D442-4398-86B1-7E042C48531C},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77465737,-88.1927943
73,944611200000,Utility,250,OTH,Distribution,Underground,{FBF0D5FB-5B53-40BD-88DD-0BF120ED9497},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77476466,-88.19173569
74,944611200000,Utility,250,OTH,Distribution,Underground,{6E162BC9-EA9A-4585-97BC-54602B8C72DE},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76955001,-88.18575353
75,944611200000,Utility,250,OTH,Distribution,Underground,{8FBE0A9E-0932-4D14-9005-B698BC0A8550},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77716541,-88.18637001
76,944611200000,Utility,250,OTH,Distribution,Underground,{1A4C051D-03E9-48F1-AF65-6D2E249B9BCA},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7726365,-88.18606122
77,944611200000,Utility,250,OTH,Distribution,Underground,{9816165E-3F44-4E59-BAEE-DA774B0D2CA6},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77179515,-88.18605283
78,944611200000,Utility,250,OTH,Distribution,Underground,{7D8F6DEC-799F-48A1-BA82-0C89E061697D},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7656024,-88.20127997
79,944611200000,Utility,250,OTH,Distribution,Underground,{097975DA-2E73-4A62-AF5D-8A60C7B47E55},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76517056,-88.19796427
80,944611200000,Utility,250,OTH,Distribution,Underground,{36982C3F-ED28-41CA-A2C2-A1156AF5AE54},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76636311,-88.20229021
81,944611200000,Utility,250,OTH,Distribution,Underground,{1882F892-D1B8-49D4-A625-2008BD658AD7},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76830296,-88.20313272
82,944611200000,Utility,250,OTH,Distribution,Underground,{E73B5190-0F85-4D75-B4EA-597AE557267A},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76940507,-88.20299795
83,944611200000,Utility,250,OTH,Distribution,Underground,{71795560-F163-4180-943E-6D01FA33C11D},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77044943,-88.2036677
84,944611200000,Utility,250,OTH,Distribution,Underground,{2C4DEF38-E96D-428A-9DB2-E31A41470911},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76932655,-88.18986105
85,944611200000,Utility,250,OTH,Distribution,Underground,{1492F114-AD5E-4A14-B0A2-4D1BDA553CA4},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76923041,-88.19268164
86,944611200000,Utility,250,OTH,Distribution,Underground,{C47B821A-AE54-4866-9726-122584803B18},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76645194,-88.19585296
87,944611200000,Utility,250,OTH,Distribution,Underground,{FD41BF32-D2A0-40F4-A88A-C0F92D618906},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76920327,-88.19756705
88,944611200000,Utility,250,OTH,Distribution,Underground,{9CBE1E41-8044-47B4-BB9B-89ADBB3AF42F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76915481,-88.20118182
89,944611200000,Utility,250,OTH,Distribution,Underground,{F3510F12-3B40-4347-B182-BAA4424E3C05},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77108629,-88.19915614
90,944611200000,Utility,250,OTH,Distribution,Underground,{4D94821F-70A4-43B9-95E3-0AC3D4CA1DFD},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77451714,-88.19850102
91,944611200000,Utility,250,OTH,Distribution,Underground,{CCA0AD53-B8C4-46AF-A58D-CE4436CD8C13},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77664217,-88.20271496
92,944611200000,Utility,250,OTH,Distribution,Underground,{87A47FEE-951F-4B40-9394-1BD39F89E5C9},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77291695,-88.20318486
93,944611200000,Utility,250,OTH,Distribution,Underground,{386F7A44-5A98-46C0-AEEA-E7A048E65C50},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76636653,-88.1947079
94,944611200000,Utility,250,OTH,Distribution,Underground,{53BE5BAA-A23C-4680-97FD-D09A9B9359DE},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76515397,-88.19589314
95,944611200000,Utility,250,OTH,Distribution,Underground,{72B02252-3D39-46F4-A0E6-85CAA15C6AEB},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76351362,-88.19590398
96,944611200000,Utility,250,OTH,Distribution,Underground,{D955D580-A10B-48B8-A845-FEF7B659AED0},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76305528,-88.20019183
97,944611200000,Utility,250,OTH,Distribution,Underground,{BD25CAFF-6684-4542-817E-32C799C13528},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76394028,-88.19240673
98,944611200000,Utility,250,OTH,Distribution,Underground,{9BEBA5C8-D8E5-4469-8239-AEE22FD3BDB0},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77074904,-88.18394117
99,944611200000,Utility,250,OTH,Distribution,Underground,{7B827971-1188-47DE-B0FE-652ED0BA1CC0},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77025107,-88.18658417
100,944611200000,Utility,250,OTH,Distribution,Underground,{C46A6B68-C063-4A2F-9A95-B682E6745853},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77071355,-88.18294771
101,944611200000,Utility,250,OTH,Distribution,Underground,{B3500D20-20B6-4BDA-BD61-D185142AEDEB},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77143118,-88.18602391
102,944611200000,Utility,250,OTH,Distribution,Underground,{0F35C3C3-3891-4E2F-8876-35C20D4633AE},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77477864,-88.18655885
103,944611200000,Utility,250,OTH,Distribution,Underground,{945529AB-7546-498E-8164-23BC175FB4EB},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77564129,-88.18813269
104,944611200000,Utility,250,OTH,Distribution,Underground,{F08E7957-1715-4A39-9CC6-BB3B29BD71C4},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77000939,-88.20545395
105,944611200000,Utility,250,OTH,Distribution,Underground,{723084C4-3466-4FBC-8ED3-028313701851},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76735004,-88.20553311
106,944611200000,Utility,250,OTH,Distribution,Underground,{80A7560F-2ED0-4482-B42C-551F81DC557E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77366662,-88.20546411
107,944611200000,Utility,250,OTH,Distribution,Underground,{0A0118E3-D9BC-4984-BFC6-AD1563014C32},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76842473,-88.18656459
108,944611200000,Utility,250,OTH,Distribution,Underground,{C2B8E9DD-9A09-4E62-8875-7D44DA5C0B40},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76751792,-88.18617885
109,944611200000,Utility,250,OTH,Distribution,Underground,{4560A00A-438C-4FC8-8CE3-B5E57053D8B0},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76612051,-88.18544873
110,944611200000,Utility,250,OTH,Distribution,Underground,{A8BD0BF6-5518-4955-B287-94DD5D5C9F01},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77045588,-88.18124136
111,944611200000,Utility,250,OTH,Distribution,Underground,{B320CB98-E617-457D-AE82-727DE511D027},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77316923,-88.16500723
112,944611200000,Utility,250,OTH,Distribution,Underground,{D7D316E8-1BF2-4FA4-9069-75CA2C6E187E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79533594,-88.12491472
113,944611200000,Utility,250,OTH,Distribution,Underground,{20DAF1F6-A1F3-48D9-B570-F7A3E032A181},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79255723,-88.12764144
114,944611200000,Utility,250,OTH,Distribution,Underground,{7246B20C-FAA9-4DD9-B33A-8E610128D00E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80113214,-88.12814632
115,944611200000,Utility,250,OTH,Distribution,Underground,{5DA96F2F-4F20-4D8D-9753-87BB51FA4635},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.78092962,-88.14597831
116,833932800000,Utility,250,OTH,Distribution,Underground,{F757AA33-C2CB-4B20-95D9-CAE8345EBAC1},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80342073,-88.15573929
117,833932800000,Utility,250,OTH,Distribution,Underground,{D35EF8A2-6E02-4E67-8AB7-8104955A81C9},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80113317,-88.15213596
118,833932800000,Utility,250,OTH,Distribution,Underground,{8CA73879-142E-4C2A-BFC4-05EA855B188E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80320123,-88.13474451
119,833932800000,Utility,250,OTH,Distribution,Underground,{3961846E-4D29-40A0-8866-27E31806C74A},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.803335,-88.13307299
120,833932800000,Utility,250,OTH,Distribution,Underground,{43A638F3-DE02-4367-A367-14562DAE01E4},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80304331,-88.13134314
121,833932800000,Utility,250,OTH,Distribution,Underground,{1BD28F8B-9196-4D8A-B56D-5FED677DF987},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80227691,-88.1299088
122,833932800000,Utility,250,OTH,Distribution,Underground,{1F1FAE43-9D33-40AB-ABD1-E4F264704C3E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79946817,-88.12513433
123,833932800000,Utility,250,OTH,Distribution,Underground,{721158BA-5138-4801-A0FB-A4D26573B8A3},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79781125,-88.1267734
124,833932800000,Utility,250,OTH,Distribution,Underground,{B91AEDC2-14D7-4F9F-8C9A-B4558D58231F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79859915,-88.12297271
125,833932800000,Utility,250,OTH,Distribution,Underground,{F8876E56-4811-4822-A68A-DC58888B06DF},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79832644,-88.12227951
126,833932800000,Utility,250,OTH,Distribution,Underground,{6E0AFBE3-BBAC-43E4-962B-D4FD355F7D06},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79799088,-88.12140356
127,833932800000,Utility,250,OTH,Distribution,Underground,{61D58EBD-C27F-49E8-92D8-79D208103BD3},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80035859,-88.12170009
128,833932800000,Utility,250,OTH,Distribution,Underground,{E01A90E6-810E-4412-8DCA-A03BF615EBF9},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80247821,-88.12117826
129,833932800000,Utility,250,OTH,Distribution,Underground,{701E82AD-65AD-4FC3-A9DC-C9DEEFDD136A},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79700608,-88.12725792
130,833932800000,Utility,250,OTH,Distribution,Underground,{51970397-92F3-4B2A-8368-85334AC9E524},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7940858,-88.12809311
131,833932800000,Utility,250,OTH,Distribution,Underground,{C050F8D4-E003-412A-8C46-C3ABDF75E698},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80155238,-88.14183561
132,833932800000,Utility,250,OTH,Distribution,Underground,{CC450661-DA35-4565-BD8D-425FDA3845A9},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.8010049,-88.1621975
133,833932800000,Utility,250,OTH,Distribution,Underground,{F63E5B14-4DAA-491C-90D4-00063E12E85F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80149426,-88.16376712
134,833932800000,Utility,250,OTH,Distribution,Underground,{FF27CE47-5AB9-4BB5-84C2-EA0EBC9F249B},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80376781,-88.16524328
135,833932800000,Utility,250,OTH,Distribution,Underground,{2B6F250A-209D-42F3-8697-EFF1848B7A4B},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80143643,-88.17212631
136,833932800000,Utility,250,OTH,Distribution,Underground,{02A49E61-55F3-4586-961A-63A1149AC7AF},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80058139,-88.17354167
137,1107302400000,Utility,250,OTH,Distribution,Underground,{51700CDD-F263-45C7-8963-E16A709BC1F7},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79014523,-88.16438366
138,1107302400000,Utility,250,OTH,Distribution,Underground,{0650037A-4E73-4181-977E-ADF3785F7679},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.78970675,-88.16507085
139,833932800000,Utility,250,OTH,Distribution,Underground,{D128FD30-5BBD-45A3-A712-5764E4BD0AA1},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79416478,-88.16958872
140,957398400000,Utility,370,OTH,Distribution,Underground,{7050B233-8314-4A82-92F2-CC8CEEC39A7B},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.78106024,-88.17556521
141,1275696000000,Utility,250,OTH,Distribution,Underground,{FCDDD074-9251-468F-A8F7-9FB4C5D9D70A},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76923564,-88.19417285
142,,,,,,,{92E88B24-E7A0-418D-BCF4-3A3889BB3F42},,,,,,,
